song_id	title	work_title	subtitle	lyricist_raw	lyricist_norm	composer_raw	composer_norm	artist	song_type	brand_id	parent_song_id	is_version	interface_key	jasrac_code	jasrac_title	match_status	note
765as_123	1,2,3	1,2,3		佐伯youthK	佐伯youthK	佐伯youthK	佐伯youthK	沼倉愛美、原由実、浅倉杏美	unit	765as			LEGACY-KEY-001			unmatched	
765as_1人ぼっちの歌	1人ぼっちの歌	1人ぼっちの歌		まんきゅう	まんきゅう	三澤康広	三澤康広	プロデューサー	solo	765as			imasdb-2c1abc3d976a			unmatched	
765as_7_colors	7 colors	7 colors		森由里子	森由里子	山下恭文	山下恭文	今井麻美	solo	765as			imasdb-df2c24129ff9			unmatched	
765as_902pm	9:02pm	9:02pm		yura	yura	BNSI(Jesahm)	Jesahm	三浦あずさ	solo	765as			imasdb-6bd6b17351e7			unmatched	
765as_902pmremster-a	9:02pm(REM@STER-A)	9:02pm	REM@STER-A	yura	yura	BNSI(Jesahm)	Jesahm	双海亜美	solo	765as	765as_902pm	1	imasdb-5b2fc4ed6295			unmatched	
765as_902pmremster-b	9:02pm(REM@STER-B)	9:02pm	REM@STER-B	yura	yura	BNSI(Jesahm)	Jesahm	秋月律子	solo	765as	765as_902pm	1	imasdb-029aff6b4b8d			unmatched	
765as_902pmドラゴンバスター_ファミソン8bit_mix	9:02pm(『ドラゴンバスター』 ファミソン8BIT MIX)	9:02pm	『ドラゴンバスター』 ファミソン8BIT MIX	yura	yura	BNSI(Jesahm)	Jesahm	三浦あずさ、秋月律子	unit	765as	765as_902pm	1	imasdb-14e0b1165c5a			unmatched	
765as_99_nights	99 Nights	99 Nights		BNSI(MC TC)	MC TC	BNSI(Taku Inoue)	Taku Inoue	星井美希、水瀬伊織、四条貴音	unit	765as			imasdb-247963b2b453			unmatched	
765as_advance	Advance	Advance		原紗友里・青木瑠璃子	原紗友里;青木瑠璃子	平清十郎[TRYTONELABO]	平清十郎[TRYTONELABO]	原紗友里&青木瑠璃子 from CINDERELLA PARTY!	unit	765as			imasdb-34170c6127b3			unmatched	
765as_alright	ALRIGHT*	ALRIGHT*		yura	yura	cota	cota	萩原雪歩	solo	765as			imasdb-70fea5d8ce94			unmatched	
765as_arcadia	arcadia	arcadia		白瀬彩	白瀬彩	上松範康(Elements Garden)	上松範康(Elements Garden)	如月千早	solo	765as			imasdb-9a500d65dab9			unmatched	
