# 掲載する 100 曲の案 (JASRAC 許諾 J260943703 / 100曲まで)
#
# 選び方: setlist_items の披露回数が多い順に、links.tsv の confidence=high だけ。
#   - 披露回数順にするのは、この歌詞がコールガイドだから。ライブでよく歌われる曲ほど価値がある。
#   - high だけにするのは、low は歌詞ページの取り違えが否定できず、cover は外国作品が
#     混じりうるため (JASRAC: 外国作品の歌詞は非商用配信の取扱い不可)。
#
# 上位 100 曲 (曲数の 3.2%) で全披露 13,762 件のうち 3,197 件 = 23% を覆う。
# 除外した 1 件: 876_リローディング (25回・confidence=low・要目視確認)
#
# 投入:
#   python3 tools/lyrics/push_lyrics.py $(grep -v '^#' tools/lyrics/publish_plan.tsv | cut -f2) \
#     --status published --apply
rank	song_id	performances	title
1	cg_お願いシンデレラ	169	お願い！シンデレラ
2	sidem_drive_a_live	136	DRIVE A LIVE
3	ml_thank_you	111	Thank You!
4	765as_ready	91	READY!!
5	sidem_beyond_the_dream	77	Beyond The Dream
6	ml_brand_new_theater	65	Brand New Theater!
7	gakuen_初	64	初
8	765as_go_my_way	56	GO MY WAY!!
9	765as_キラメキラリ	55	キラメキラリ
10	sc_spread_the_wings	51	Spread the Wings!!
11	765as_乙女よ大志を抱け	45	乙女よ大志を抱け！！
12	gakuen_campus_mode	44	Campus mode!!
13	ml_dreaming	44	Dreaming!
14	ml_素敵なキセキ	44	素敵なキセキ
15	cg_star	39	Star!!
16	ml_precious_grain	38	Precious Grain
17	ml_welcome	38	Welcome!!
18	cg_goin	36	GOIN'!!!
19	765as_msterpiece	36	M@STERPIECE
20	765as_いっぱいいっぱい	36	いっぱいいっぱい
21	ml_diamond_days	35	DIAMOND DAYS
22	ml_トキメキの音符になって	35	トキメキの音符になって
23	cg_never_say_never	34	Never say never
24	765as_自分restrt	34	自分REST@RT
25	765as_風花	34	風花
26	cg_tulip	33	Tulip
27	cg_smileing	31	S(mile)ING！
28	765as_the_world_is_all_one_	31	The world is all one !!
29	765as_arcadia	31	arcadia
30	765as_relations	31	relations
31	sc_いつだって僕らは	30	いつだって僕らは
32	765as_エージェント夜を往く	30	エージェント夜を往く
33	sc_oh_my_god	29	OH MY GOD
34	sidem_バーニンクールで輝いて	29	バーニン・クールで輝いて
35	cg_shine	28	Shine!!
36	sc_wandering_dream_chaser	28	Wandering Dream Chaser
37	765as_オーバーマスター	28	オーバーマスター
38	765as_自転車	28	自転車
39	sc_ambitious_eve	27	Ambitious Eve
40	sc_dye_the_sky	27	Dye the sky.
41	ml_flyers	27	Flyers!!!
42	cg_yes_party_time	27	Yes! Party Time!!
43	cg_beyond_the_starlight	26	BEYOND THE STARLIGHT
44	sidem_moon_nightのせいにして	26	MOON NIGHTのせいにして
45	765as_空	26	空
46	765as_alright	25	ALRIGHT*
47	gakuen_fighting_my_way	25	Fighting My Way
48	sc_hide_attack	25	Hide & Attack
49	cg_tokimekiエスカレート	25	TOKIMEKIエスカレート
50	gakuen_キミとセミブルー	25	キミとセミブルー
51	765as_マリオネットの心	25	マリオネットの心
52	765as_眠り姫	25	眠り姫
53	sc_fly_and_fly	24	Fly and Fly
54	sc_multicolored_sky	24	Multicolored Sky
55	765as_start	24	START!!
56	cg_あんずのうた	24	あんずのうた
57	cg_クレイジークレイジー	23	クレイジークレイジー
58	sc_シャイノグラフィ	23	シャイノグラフィ
59	sc_太陽キッス	23	太陽キッス
60	765as_蒼い鳥	23	蒼い鳥
61	sidem_legacy_of_spirit	22	Legacy of Spirit
62	cg_lovedestiny	22	Love∞Destiny
63	sidem_starlight_celebrate	22	STARLIGHT CELEBRATE!
64	cg_twilight_sky	22	Twilight Sky
65	765as_my_song	22	my song
66	cg_ミツボシ	22	ミツボシ☆☆★
67	765as_change	21	CHANGE!!!!
68	gakuen_luna_say_maybe	21	Luna say maybe
69	ml_union	21	UNION!!
70	cg_アタシポンコツアンドロイド	21	アタシポンコツアンドロイド
71	sc_アルストロメリア	21	アルストロメリア
72	765as_スタトスタ	21	スタ→トスタ→
73	ml_ハッピーラッキージェットマシーン	21	ハッピー☆ラッキー☆ジェットマシーン
74	sidem_勇敢なるキミへ	21	勇敢なるキミへ
75	765as_目が逢う瞬間	21	目が逢う瞬間
76	cg_純情midnight伝説	21	純情Midnight伝説
77	876_群青イニシエーション	21	群青イニシエーション
78	sidem_dramatic_nonfiction	20	DRAMATIC NONFICTION
79	cg_evermore	20	EVERMORE
80	sc_fashionable	20	Fashionable
81	gakuen_fluorite	20	Fluorite
82	765as_i_want	20	I Want
83	765as_next_life	20	Next Life
84	765as_tear	20	tear
85	sc_あの花のように	20	あの花のように
86	cg_ガールズインザフロンティア	20	ガールズ・イン・ザ・フロンティア
87	765as_ゲンキトリッパー	20	ゲンキトリッパー
88	sc_ハナムケのハナタバ	20	ハナムケのハナタバ
89	sc_ビーチブレイバー	20	ビーチブレイバー
90	765as_太陽のジェラシー	20	太陽のジェラシー
91	sc_無自覚アプリオリ	20	無自覚アプリオリ
92	765as_fate_of_the_world	19	Fate of the World
93	sidem_jokerオールマイティ	19	JOKER↗オールマイティ
94	ml_marionetteは眠らない	19	Marionetteは眠らない
95	ml_pretty_dreamer	19	PRETTY DREAMER
96	sidem_reason	19	Reason!!
97	cg_romantic_now	19	Romantic Now
98	ml_sentimental_venus	19	Sentimental Venus
99	sidem_study_equal_magic	19	Study Equal Magic!
100	765as_voyger	19	VOY@GER
